Clock	Marker	Coefficient	
Horvath-blood_skin_others	cg16419235	0.114778824	
Horvath-blood_skin_others	cg23710218	-0.349167653	
Horvath-blood_skin_others	cg07583137	0.045566547	
Horvath-blood_skin_others	cg12402251	0.126795101	
Horvath-blood_skin_others	cg19497517	-0.043395521	
Horvath-blood_skin_others	cg13586038	0.123252118	
Horvath-blood_skin_others	cg19724470	-0.10071878	
Horvath-blood_skin_others	cg07211259	-0.005379403	
Horvath-blood_skin_others	cg07158339	-0.031781561	
Horvath-blood_skin_others	cg24046474	0.273014681	
Horvath-blood_skin_others	cg14059835	-0.01606536	
Horvath-blood_skin_others	cg10570177	-0.098633561	
Horvath-blood_skin_others	cg13649056	0.039138961	
Horvath-blood_skin_others	cg13734401	-0.095656068	
Horvath-blood_skin_others	cg26581729	0.020094806	
Horvath-blood_skin_others	cg06231995	0.474820936	
Horvath-blood_skin_others	cg14411282	-0.257289082	
Horvath-blood_skin_others	cg12530994	-0.229184375	
Horvath-blood_skin_others	cg23754392	-0.291911388	
Horvath-blood_skin_others	cg06908778	-0.157690767	
Horvath-blood_skin_others	cg22796704	-0.029759398	
Horvath-blood_skin_others	cg01560871	-0.049569159	
Horvath-blood_skin_others	cg04268405	-0.131067658	
Horvath-blood_skin_others	cg18738190	-0.107287066	
Horvath-blood_skin_others	cg04126866	-0.002395993	
Horvath-blood_skin_others	cg25427880	0.163755938	
Horvath-blood_skin_others	cg09671951	0.100547105	
Horvath-blood_skin_others	cg06888746	0.06636353	
Horvath-blood_skin_others	cg24838825	0.064357741	
Horvath-blood_skin_others	cg13848598	0.193738927	
Horvath-blood_skin_others	cg07906193	-0.028845261	
Horvath-blood_skin_others	cg12776156	-0.178994003	
Horvath-blood_skin_others	cg05928581	-0.042510449	
Horvath-blood_skin_others	cg17627559	-0.041485942	
Horvath-blood_skin_others	cg23091758	0.105288037	
Horvath-blood_skin_others	cg04940570	0.289083267	
Horvath-blood_skin_others	cg10825530	-0.032291929	
Horvath-blood_skin_others	cg20654468	-0.053720029	
Horvath-blood_skin_others	cg26552743	0.143274678	
Horvath-blood_skin_others	cg21992250	0.148220328	
Horvath-blood_skin_others	cg15015340	-0.177069064	
Horvath-blood_skin_others	cg22843803	0.056493693	
Horvath-blood_skin_others	cg02532488	-0.700325684	
Horvath-blood_skin_others	cg13547237	-0.244821395	
Horvath-blood_skin_others	cg06419846	0.173053972	
Horvath-blood_skin_others	cg05496363	0.052685055	
Horvath-blood_skin_others	cg20063906	-0.059773403	
Horvath-blood_skin_others	cg12328429	0.084155006	
Horvath-blood_skin_others	cg25969122	-0.230844144	
Horvath-blood_skin_others	cg18633600	0.258223734	
Horvath-blood_skin_others	cg08622677	0.228243806	
Horvath-blood_skin_others	cg01820374	0.122892482	
Horvath-blood_skin_others	cg25719851	-0.022925595	
Horvath-blood_skin_others	cg13828440	0.007369907	
Horvath-blood_skin_others	cg26986871	0.056829639	
Horvath-blood_skin_others	cg00748589	0.166719656	
Horvath-blood_skin_others	cg21747310	-0.14214148	
Horvath-blood_skin_others	cg00431549	8.83E-06	
Horvath-blood_skin_others	cg13302154	0.108000163	
Horvath-blood_skin_others	cg13909661	-0.274041919	
Horvath-blood_skin_others	cg19722847	-0.181925615	
Horvath-blood_skin_others	cg26311454	0.122618743	
Horvath-blood_skin_others	cg08900043	-0.061964424	
Horvath-blood_skin_others	cg00753885	-0.478311288	
Horvath-blood_skin_others	cg18573383	0.181171156	
Horvath-blood_skin_others	cg15405572	0.037353229	
Horvath-blood_skin_others	cg01528542	-0.142372036	
Horvath-blood_skin_others	cg08993878	-0.064338662	
Horvath-blood_skin_others	cg22827210	-0.027255117	
Horvath-blood_skin_others	cg03670162	-0.272548779	
Horvath-blood_skin_others	cg04596060	-0.665424984	
Horvath-blood_skin_others	cg21907579	-0.177227446	
Horvath-blood_skin_others	cg10281002	0.025872001	
Horvath-blood_skin_others	cg07172885	0.117264072	
Horvath-blood_skin_others	cg20404336	0.157368981	
Horvath-blood_skin_others	cg18582260	0.035026458	
Horvath-blood_skin_others	cg22179082	0.002964856	
Horvath-blood_skin_others	cg06648759	0.426865378	
Horvath-blood_skin_others	cg23357533	-0.315330856	
Horvath-blood_skin_others	cg20102280	-0.062042567	
Horvath-blood_skin_others	cg13767001	0.083143352	
Horvath-blood_skin_others	cg23389651	-0.293553057	
Horvath-blood_skin_others	cg09646392	-0.033184175	
Horvath-blood_skin_others	cg00593462	0.097570402	
Horvath-blood_skin_others	cg07115626	-0.094763614	
Horvath-blood_skin_others	cg06738602	-0.094900868	
Horvath-blood_skin_others	cg03032497	0.111167257	
Horvath-blood_skin_others	cg18771300	-0.020048513	
Horvath-blood_skin_others	cg24058132	-0.112975227	
Horvath-blood_skin_others	cg13027206	-0.045902277	
Horvath-blood_skin_others	cg15480367	0.194531027	
Horvath-blood_skin_others	cg12177001	-0.07785388	
Horvath-blood_skin_others	cg23709172	-0.186107442	
Horvath-blood_skin_others	cg14334310	-0.046881748	
Horvath-blood_skin_others	cg04875128	0.000358099	
Horvath-blood_skin_others	cg21296230	-0.025400229	
Horvath-blood_skin_others	cg02071305	0.006551842	
Horvath-blood_skin_others	cg03361973	0.060347983	
Horvath-blood_skin_others	cg16717122	0.145165276	
Horvath-blood_skin_others	cg04858164	0.021061771	
Horvath-blood_skin_others	cg25005357	0.175415186	
Horvath-blood_skin_others	cg08454546	-0.094942525	
Horvath-blood_skin_others	cg21801378	-0.108999297	
Horvath-blood_skin_others	cg15188939	0.204901746	
Horvath-blood_skin_others	cg20540209	0.168253736	
Horvath-blood_skin_others	cg05542681	0.136880027	
Horvath-blood_skin_others	cg08949164	0.26484193	
Horvath-blood_skin_others	cg09183146	0.073150402	
Horvath-blood_skin_others	cg00454305	0.104795616	
Horvath-blood_skin_others	cg02871659	0.088545773	
Horvath-blood_skin_others	cg00991848	0.443892891	
Horvath-blood_skin_others	cg02331561	-0.251920782	
Horvath-blood_skin_others	cg26974444	0.076079047	
Horvath-blood_skin_others	cg06112560	0.164151085	
Horvath-blood_skin_others	cg10917602	-0.01541014	
Horvath-blood_skin_others	cg09155044	-0.34067138	
Horvath-blood_skin_others	cg04031656	0.054786257	
Horvath-blood_skin_others	cg03746976	-0.057713285	
Horvath-blood_skin_others	cg18693704	-0.281443943	
Horvath-blood_skin_others	cg00658652	0.152610423	
Horvath-blood_skin_others	cg03991512	-0.076313755	
Horvath-blood_skin_others	cg22947000	0.022123113	
Horvath-blood_skin_others	cg07082267	-0.469183318	
Horvath-blood_skin_others	cg03486383	0.163455361	
Horvath-blood_skin_others	cg02228185	-0.040322638	
Horvath-blood_skin_others	cg23668631	0.005436849	
Horvath-blood_skin_others	cg14522800	0.130623663	
Horvath-blood_skin_others	cg25135555	0.19289556	
Horvath-blood_skin_others	cg13029847	0.647782172	
Horvath-blood_skin_others	cg06144905	0.159584367	
Horvath-blood_skin_others	cg11896923	0.03762834	
Horvath-blood_skin_others	cg06874016	-0.087728359	
Horvath-blood_skin_others	cg25809905	-0.098070008	
Horvath-blood_skin_others	cg04267101	-0.019686613	
Horvath-blood_skin_others	cg22507023	0.238758635	
Horvath-blood_skin_others	cg02867102	-0.119891936	
Horvath-blood_skin_others	cg13093111	0.008813891	
Horvath-blood_skin_others	cg13683374	-0.082641119	
Horvath-blood_skin_others	cg10644544	-0.667740113	
Horvath-blood_skin_others	cg03643998	-0.096155832	
Horvath-blood_skin_others	cg11620135	-0.017903185	
Horvath-blood_skin_others	cg25436157	-0.104484131	
Horvath-blood_skin_others	cg24217948	-0.064571004	
Horvath-blood_skin_others	cg17589341	0.057342287	
Horvath-blood_skin_others	cg17243289	0.043726185	
Horvath-blood_skin_others	cg12459502	-0.094150797	
Horvath-blood_skin_others	cg19283806	-0.117204493	
Horvath-blood_skin_others	cg10052840	-0.071280662	
Horvath-blood_skin_others	cg26005082	0.123793917	
Horvath-blood_skin_others	cg11766468	0.055276883	
Horvath-blood_skin_others	cg10586358	-0.045978588	
Horvath-blood_skin_others	cg14556683	-0.137408439	
Horvath-blood_skin_others	cg26842024	0.484248748	
Horvath-blood_skin_others	cg18335931	-0.250129622	
Horvath-blood_skin_others	cg17861230	-0.317548444	
Horvath-blood_skin_others	cg10498798	-0.270927703	
Horvath-blood_skin_others	cg27212234	1.019895062	
Horvath-blood_skin_others	cg17110586	-0.068681588	
Horvath-blood_skin_others	cg21944491	-0.061976207	
Horvath-blood_skin_others	cg21940708	0.226979162	
Horvath-blood_skin_others	cg15811427	-0.003532559	
Horvath-blood_skin_others	cg06458239	0.346805453	
Horvath-blood_skin_others	cg10729426	0.234125732	
Horvath-blood_skin_others	cg21911021	0.043583857	
Horvath-blood_skin_others	cg24834740	-0.071902899	
Horvath-blood_skin_others	cg19702785	0.127633982	
Horvath-blood_skin_others	cg07547549	0.21256908	
Horvath-blood_skin_others	cg12303084	0.651720134	
Horvath-blood_skin_others	cg27544190	-0.578092646	
Horvath-blood_skin_others	cg01262913	-0.001998917	
Horvath-blood_skin_others	cg17274064	-0.061618839	
Horvath-blood_skin_others	cg09428349	-0.409120335	
Horvath-blood_skin_others	cg10636297	0.185919976	
Horvath-blood_skin_others	cg12373771	-0.13986391	
Horvath-blood_skin_others	cg05442902	-0.240314839	
Horvath-blood_skin_others	cg16612562	0.001293445	
Horvath-blood_skin_others	cg19015086	0.153297682	
Horvath-blood_skin_others	cg21205978	0.081658381	
Horvath-blood_skin_others	cg01949403	0.059578005	
Horvath-blood_skin_others	cg08415592	-0.147841089	
Horvath-blood_skin_others	cg19853760	-0.061453988	
Horvath-blood_skin_others	cg23124451	-0.037615246	
Horvath-blood_skin_others	cg25459323	0.023730178	
Horvath-blood_skin_others	cg27187881	-0.244556011	
Horvath-blood_skin_others	cg00343092	-0.082073172	
Horvath-blood_skin_others	cg00347775	0.000841664	
Horvath-blood_skin_others	cg27131176	-0.192317101	
Horvath-blood_skin_others	cg22982767	-0.41219696	
Horvath-blood_skin_others	cg07016730	-0.029382863	
Horvath-blood_skin_others	cg01892695	-0.250618874	
Horvath-multi-tissue	cg00075967	0.12933661	
Horvath-multi-tissue	cg00374717	0.005017857	
Horvath-multi-tissue	cg00864867	1.59976405	
Horvath-multi-tissue	cg00945507	0.056852418	
Horvath-multi-tissue	cg01027739	0.102862854	
Horvath-multi-tissue	cg01353448	0.238560451	
Horvath-multi-tissue	cg01584473	0.088628396	
Horvath-multi-tissue	cg01644850	0.159948713	
Horvath-multi-tissue	cg01656216	0.042805528	
Horvath-multi-tissue	cg01873645	-0.604056375	
Horvath-multi-tissue	cg01968178	1.169245865	
Horvath-multi-tissue	cg02085507	0.006127551	
Horvath-multi-tissue	cg02154074	0.044757003	
Horvath-multi-tissue	cg02217159	-0.086512604	
Horvath-multi-tissue	cg02331561	0.126928853	
Horvath-multi-tissue	cg02332492	0.062771342	
Horvath-multi-tissue	cg02364642	-0.024270255	
Horvath-multi-tissue	cg02388150	0.425971257	
Horvath-multi-tissue	cg02479575	1.875446187	
Horvath-multi-tissue	cg02489552	0.073741383	
Horvath-multi-tissue	cg02580606	0.349274493	
Horvath-multi-tissue	cg02654291	0.140583491	
Horvath-multi-tissue	cg02827112	0.050646083	
Horvath-multi-tissue	cg02972551	0.47394601	
Horvath-multi-tissue	cg03103192	0.023536343	
Horvath-multi-tissue	cg03167275	-0.551041258	
Horvath-multi-tissue	cg03270204	0.013544725	
Horvath-multi-tissue	cg03565323	-0.207653221	
Horvath-multi-tissue	cg03588357	-0.858843002	
Horvath-multi-tissue	cg03760483	0.014946399	
Horvath-multi-tissue	cg04084157	1.034144196	
Horvath-multi-tissue	cg04126866	0.079374551	
Horvath-multi-tissue	cg04528819	0.771798107	
Horvath-multi-tissue	cg04836038	0.440056203	
Horvath-multi-tissue	cg05250458	0.087295559	
Horvath-multi-tissue	cg05294243	0.11851793	
Horvath-multi-tissue	cg05365729	0.052940133	
Horvath-multi-tissue	cg05675373	0.346355946	
Horvath-multi-tissue	cg05755779	0.060215102	
Horvath-multi-tissue	cg05921699	0.018064958	
Horvath-multi-tissue	cg05960024	0.081029885	
Horvath-multi-tissue	cg06121469	0.027024582	
Horvath-multi-tissue	cg06144905	0.597211279	
Horvath-multi-tissue	cg06361108	0.43315799	
Horvath-multi-tissue	cg06462291	0.015758987	
Horvath-multi-tissue	cg06493994	1.858006164	
Horvath-multi-tissue	cg06557358	-0.141331243	
Horvath-multi-tissue	cg06738602	-0.151674548	
Horvath-multi-tissue	cg06810647	0.374888117	
Horvath-multi-tissue	cg06952310	0.091760658	
Horvath-multi-tissue	cg06993413	1.503184415	
Horvath-multi-tissue	cg07285276	0.192242573	
Horvath-multi-tissue	cg07291563	0.041640015	
Horvath-multi-tissue	cg07337598	0.088226928	
Horvath-multi-tissue	cg07455279	0.005632264	
Horvath-multi-tissue	cg07595943	0.051178068	
Horvath-multi-tissue	cg08030082	0.012830322	
Horvath-multi-tissue	cg08090772	-0.341458098	
Horvath-multi-tissue	cg08124722	0.008484904	
Horvath-multi-tissue	cg08251036	0.068634882	
Horvath-multi-tissue	cg08370996	0.812907628	
Horvath-multi-tissue	cg08413469	0.140510611	
Horvath-multi-tissue	cg08434234	-0.211774018	
Horvath-multi-tissue	cg08771731	0.103386824	
Horvath-multi-tissue	cg08965235	-0.220130796	
Horvath-multi-tissue	cg09019938	-0.12172174	
Horvath-multi-tissue	cg09118625	0.307808351	
Horvath-multi-tissue	cg09191327	-0.278393765	
Horvath-multi-tissue	cg09418283	0.027502906	
Horvath-multi-tissue	cg09509673	0.013745188	
Horvath-multi-tissue	cg09785172	-0.016561072	
Horvath-multi-tissue	cg09869858	0.066316642	
Horvath-multi-tissue	cg09885951	0.095237498	
Horvath-multi-tissue	cg10281002	0.468416918	
Horvath-multi-tissue	cg10376763	-0.115358177	
Horvath-multi-tissue	cg10377274	0.057139076	
Horvath-multi-tissue	cg10486998	-0.389335841	
Horvath-multi-tissue	cg10523019	0.514646778	
Horvath-multi-tissue	cg10920957	-0.399903548	
Horvath-multi-tissue	cg11932564	0.700001079	
Horvath-multi-tissue	cg12351433	0.079279219	
Horvath-multi-tissue	cg12373771	0.533301546	
Horvath-multi-tissue	cg12768605	-0.188560769	
Horvath-multi-tissue	cg12830694	0.339726781	
Horvath-multi-tissue	cg12946225	0.133612754	
Horvath-multi-tissue	cg13038560	0.261380978	
Horvath-multi-tissue	cg13216057	-0.138857398	
Horvath-multi-tissue	cg13319175	0.013848218	
Horvath-multi-tissue	cg13460409	0.412023313	
Horvath-multi-tissue	cg13682722	0.110100933	
Horvath-multi-tissue	cg13836627	0.029983661	
Horvath-multi-tissue	cg13854874	0.049613334	
Horvath-multi-tissue	cg13899108	0.033651673	
Horvath-multi-tissue	cg13975369	0.378716214	
Horvath-multi-tissue	cg14258236	0.086897539	
Horvath-multi-tissue	cg14308452	0.003142044	
Horvath-multi-tissue	cg14329157	0.251930765	
Horvath-multi-tissue	cg14424579	3.067470269	
